Course Title,Provider / University,Category,Difficulty Level,Cost,Duration,Teaching Language
Core Python Programming,R. Nageswara Rao,Programming,N/A,Free,N/A,hin
Black Hat Python,"Justin Seitz, Tim Arnold","Python (Computer program language), Computer security",N/A,Free,N/A,eng
Core Python programming,Wesley Chun,Python (Computer program language),N/A,Free,N/A,eng
Python Programming,Reema Thareja,Mathematics,N/A,Free,N/A,eng
Python programming,John M. Zelle,Python (Computer program language),N/A,Free,N/A,eng
Learning Python,"Mark Lutz, David Ascher","Python (Langage de programmation), Python (linguagem de programação)",N/A,Free,N/A,eng
Python Programming Crash Course,Alex Jaxson,Programming,N/A,Free,N/A,eng
Python Programming,Sarah Stewart,Programming,N/A,Free,N/A,English
Python Programming,Adam Stewart,Programming,N/A,Free,N/A,eng
Python,Joshua Welsh,Programming,N/A,Free,N/A,eng
Python Programming,"Naveen ,Kumar and Taneja Sheetal",Programming,N/A,Free,N/A,English
Introduction to Python Programming,"Gowrishankar S, Veena A","Python (computer program language), Python (Computer program language)",N/A,Free,N/A,eng
Python programming in context,Bradley N. Miller,"Python (Computer program language), Qa76.73.p98 m544 2009",N/A,Free,N/A,eng
Fundamentals of Python Programming,Richard L. Halterman,Programming,N/A,Free,N/A,eng
Python Programming,"Vijaya Kumara Sarma, Vimal Kumar, Swati Sharma, Shashwat Pathak",Mathematics,N/A,Free,N/A,eng
Murach's Python Programming (2nd Edition),"Joel Murach, Michael Urban","Computers, Computer software",N/A,Free,N/A,eng
Python for Beginners : 2 Books in 1,Programming Languages ACADEMY,Programming,N/A,Free,N/A,eng
Python Programming For Beginners,"Python Programming, Michael Knapp",Programming,N/A,Free,N/A,eng
Programming Python,Mark Lutz,"Python (Computer program language), Qa76.73.p98 l88 2001",N/A,Free,N/A,eng
Murach's Python Programming,"Michael Urban, Joel Murach","Python (computer program language), Object-oriented programming (Computer science)",N/A,Free,N/A,eng
TOP 15+ BEST PYTHON COURSES INSTITUTE DELHI,Uma Choudhary,"Careers, Podcasts, Business",N/A,Free,Self-paced,English
The Digital Lighthouse,Softwire,"Technology, Podcasts",N/A,Free,Self-paced,English
The Real Python Podcast,Real Python,"Technology, Podcasts",N/A,Free,Self-paced,English
Phillip Wylie Show | Cybersecurity & Pentesting Podcast,Phillip Wylie,"Technology, Podcasts",N/A,Free,Self-paced,English
Unallocated Space by ArcPoint Forensics,ArcPoint Forensics,"Technology, Podcasts",N/A,Free,Self-paced,English
The PIT Show: Reflections and Interviews in the Tech World,Jay Miller,"Technology, Podcasts, Society & Culture",N/A,Free,Self-paced,English
Tesseract Podcast,Tesseract AF,"Management, Podcasts, Business",N/A,Free,Self-paced,English
Career Explorations in Genomic Medicine Research,UNC Program for Precision Medicine in Health Care,"Medicine, Podcasts, Health & Fitness",N/A,Free,Self-paced,English
Recess,Rohan Hirani and Jacob Swiney,"Business, Podcasts",N/A,Free,Self-paced,English
Castálio Podcast,Castálio Podcast,"Technology, Podcasts",N/A,Free,Self-paced,English
Transform Talks: The Supply Chain Transformation Podcast,Villablanca Consulting Limited,"Management, Podcasts, Business",N/A,Free,Self-paced,English
MLB Data Warehouse - The Podcast,Jon Anderson,"Fantasy Sports, Podcasts, Sports",N/A,Free,Self-paced,English
Future Optimist,Ross Palmer,"Technology, Podcasts",N/A,Free,Self-paced,English
Taking the Lead,Motion,"Careers, Podcasts, Business, Technology",N/A,Free,Self-paced,English
librarypunk,librarypunk,"Education, Podcasts, News, Politics",N/A,Free,Self-paced,English
Riding into the unknown,Mónica and Cristina Espinosa,"Self-Improvement, Podcasts, Education",N/A,Free,Self-paced,English
Not Overthinking,Ali & Taimur Abdaal,"Society & Culture, Podcasts, Business",N/A,Free,Self-paced,English
Listen and Learn on the Go With Our Captivating Free Audiobook,esound.space/full,"Drama, Podcasts, Fiction",N/A,Free,Self-paced,English
Cyber Prophets,Cyber Prophets,"Technology, Podcasts, News, Tech News",N/A,Free,Self-paced,English
TensorFlow-Course,instillai,Jupyter Notebook,N/A,Free,Self-paced,English
python-mastery,dabeaz-course,Python,N/A,Free,Self-paced,English
practical-python,dabeaz-course,Python,N/A,Free,Self-paced,English
stanford-tensorflow-tutorials,chiphuyen,Python,N/A,Free,Self-paced,English
ai-engineering-from-scratch,rohitg00,Python,N/A,Free,Self-paced,English
Mastering-GitHub-Copilot-for-Paired-Programming,microsoft,Python,N/A,Free,Self-paced,English
PPOxFamily,opendilab,Python,N/A,Free,Self-paced,English
python-for-absolute-beginners-course,talkpython,Python,N/A,Free,Self-paced,English
100daysofcode-with-python-course,talkpython,Jupyter Notebook,N/A,Free,Self-paced,English
OpenCV-Python-Tutorials-and-Projects,murtazahassan,Python,N/A,Free,Self-paced,English
reinforcement_learning_course_materials,upb-lea,Jupyter Notebook,N/A,Free,Self-paced,English
personalized-recommender-course,decodingai-magazine,Jupyter Notebook,N/A,Free,Self-paced,English
Econometrics-With-Python,weijie-chen,Jupyter Notebook,N/A,Free,Self-paced,English
FirstCourseNetworkScience,CambridgeUniversityPress,Jupyter Notebook,N/A,Free,Self-paced,English
python-course,fbkarsdorp,Jupyter Notebook,N/A,Free,Self-paced,English
pycadl,pkmital,Python,N/A,Free,Self-paced,English
30-Days-of-Python-3.6,codingforentrepreneurs,Python,N/A,Free,Self-paced,English
PythonTutorial,TCXX,Jupyter Notebook,N/A,Free,Self-paced,English
kaggle-courses,drakearch,Jupyter Notebook,N/A,Free,Self-paced,English
Introduction-to-Data-Science-in-python,sidsriv,Jupyter Notebook,N/A,Free,Self-paced,English
DSA & System Design Course: The Complete SDE Interview Program,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
DevOps Course with IBM Certification,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
Java Backend Development - Live Course,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
Complete Data Analytics with AI,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
MERN Full Stack Development Course (with IBM Certification),GeeksforGeeks,Programming,N/A,$239.98,98 days,English
System Design Training Program,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
Generative AI Training Program - Live,GeeksforGeeks,Programming,N/A,$299.98,119 days,English
Fast-Track Hiring Opportunity Program - Exclusive for 2026 Graduates,GeeksforGeeks,Programming,N/A,$139.98,T22H,English
Complete Machine Learning & Data Science Course,GeeksforGeeks,Programming,N/A,$79.98,84 days,English
Data Structures and Algorithms | DSA Course - Self Paced,GeeksforGeeks,Programming,N/A,$49.98,56 days,English
System Design Course: Low-Level to High-Level - Self Paced,GeeksforGeeks,Programming,N/A,$79.98,56 days,English
Automation Testing - Self Paced,GeeksforGeeks,Programming,N/A,$19.98,56 days,English
C++ Programming Course- Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
Java Programming Course - Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
Python Programming Course- Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
JavaScript Programming Course- Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
MongoDB Overview,GeeksforGeeks,Programming,N/A,$0,7 days,English
CRUD Operations in MongoDB,GeeksforGeeks,Programming,N/A,$0,7 days,English
RAG with MongoDB,GeeksforGeeks,Programming,N/A,$0,7 days,English
Schema Design Patterns and Anti-patterns,GeeksforGeeks,Programming,N/A,$0,7 days,English
Chrome,Coursera,Online Course,N/A,Varies,N/A,English
Introduction to Artificial Intelligence (AI),Coursera,Online Course,N/A,Varies,N/A,English
AI For Everyone,Coursera,Online Course,N/A,Varies,N/A,English
Introduction to AI,Coursera,Online Course,N/A,Varies,N/A,English
AI Fundamentals,Coursera,Online Course,N/A,Varies,N/A,English
AI Foundations for Everyone,Coursera,Online Course,N/A,Varies,N/A,English
AI Infrastructure and Operations Fundamentals,Coursera,Online Course,N/A,Varies,N/A,English
AI for Healthcare Systems,Coursera,Online Course,N/A,Varies,N/A,English
AI for Finance,Coursera,Online Course,N/A,Varies,N/A,English
AI Essentials ,Coursera,Online Course,N/A,Varies,N/A,English
AI Fundamentals with Claude,Coursera,Online Course,N/A,Varies,N/A,English
AI for Marketing,Coursera,Online Course,N/A,Varies,N/A,English
AI Powered UI\u002FUX Design,Coursera,Online Course,N/A,Varies,N/A,English
ai for everyone,Coursera,Online Course,N/A,Varies,N/A,English
introduction to ai,Coursera,Online Course,N/A,Varies,N/A,English
ai coding,Coursera,Online Course,N/A,Varies,N/A,English
data analytics with ai,Coursera,Online Course,N/A,Varies,N/A,English
ai implementation,Coursera,Online Course,N/A,Varies,N/A,English
ai development,Coursera,Online Course,N/A,Varies,N/A,English
working with ai,Coursera,Online Course,N/A,Varies,N/A,English
Computer Science,Codecademy,Programming,N/A,Subscription,75 hours,English
Business Intelligence Data Analyst,Codecademy,Programming,N/A,Subscription,50 hours,English
Learn Python 3,Codecademy,Programming,N/A,Subscription,24 hours,English
Getting Started with Python for Data Science,Codecademy,Programming,N/A,Partially Free,7 hours,English
Python for Programmers,Codecademy,Programming,N/A,Partially Free,3 hours,English
